GEOID,NAME,variable,value,gender,age_band,race
01,Alabama,P012A003,93486,Male,0-15,White
02,Alaska,P012A003,15222,Male,0-15,White
04,Arizona,P012A003,143059,Male,0-15,White
05,Arkansas,P012A003,68531,Male,0-15,White
06,California,P012A003,630767,Male,0-15,White
08,Colorado,P012A003,128916,Male,0-15,White
09,Connecticut,P012A003,68313,Male,0-15,White
10,Delaware,P012A003,16010,Male,0-15,White
11,District of Columbia,P012A003,4670,Male,0-15,White
12,Florida,P012A003,347906,Male,0-15,White
13,Georgia,P012A003,179290,Male,0-15,White
15,Hawaii,P012A003,7699,Male,0-15,White
16,Idaho,P012A003,52609,Male,0-15,White
17,Illinois,P012A003,269069,Male,0-15,White
18,Indiana,P012A003,168815,Male,0-15,White
19,Iowa,P012A003,87253,Male,0-15,White
20,Kansas,P012A003,79237,Male,0-15,White
21,Kentucky,P012A003,117091,Male,0-15,White
22,Louisiana,P012A003,86469,Male,0-15,White
23,Maine,P012A003,32230,Male,0-15,White
24,Maryland,P012A003,90555,Male,0-15,White
25,Massachusetts,P012A003,132039,Male,0-15,White
26,Michigan,P012A003,214299,Male,0-15,White
27,Minnesota,P012A003,133788,Male,0-15,White
28,Mississippi,P012A003,53354,Male,0-15,White
29,Missouri,P012A003,151433,Male,0-15,White
30,Montana,P012A003,26142,Male,0-15,White
31,Nebraska,P012A003,51929,Male,0-15,White
32,Nevada,P012A003,53279,Male,0-15,White
33,New Hampshire,P012A003,31476,Male,0-15,White
34,New Jersey,P012A003,165923,Male,0-15,White
35,New Mexico,P012A003,43989,Male,0-15,White
36,New York,P012A003,346569,Male,0-15,White
37,North Carolina,P012A003,188333,Male,0-15,White
38,North Dakota,P012A003,18567,Male,0-15,White
39,Ohio,P012A003,273458,Male,0-15,White
40,Oklahoma,P012A003,80094,Male,0-15,White
41,Oregon,P012A003,89889,Male,0-15,White
42,Pennsylvania,P012A003,271001,Male,0-15,White
44,Rhode Island,P012A003,20216,Male,0-15,White
45,South Carolina,P012A003,86291,Male,0-15,White
46,South Dakota,P012A003,22945,Male,0-15,White
47,Tennessee,P012A003,142948,Male,0-15,White
48,Texas,P012A003,632538,Male,0-15,White
49,Utah,P012A003,111788,Male,0-15,White
50,Vermont,P012A003,14970,Male,0-15,White
51,Virginia,P012A003,156516,Male,0-15,White
53,Washington,P012A003,148344,Male,0-15,White
54,West Virginia,P012A003,48119,Male,0-15,White
55,Wisconsin,P012A003,139397,Male,0-15,White
56,Wyoming,P012A003,17639,Male,0-15,White
72,Puerto Rico,P012A003,89408,Male,0-15,White
01,Alabama,P012A004,98103,Male,0-15,White
02,Alaska,P012A004,14492,Male,0-15,White
04,Arizona,P012A004,145969,Male,0-15,White
05,Arkansas,P012A004,70256,Male,0-15,White
06,California,P012A004,643646,Male,0-15,White
08,Colorado,P012A004,131983,Male,0-15,White
09,Connecticut,P012A004,80089,Male,0-15,White
10,Delaware,P012A004,16777,Male,0-15,White
11,District of Columbia,P012A004,2974,Male,0-15,White
12,Florida,P012A004,361506,Male,0-15,White
13,Georgia,P012A004,188635,Male,0-15,White
15,Hawaii,P012A004,6587,Male,0-15,White
16,Idaho,P012A004,52724,Male,0-15,White
17,Illinois,P012A004,283775,Male,0-15,White
18,Indiana,P012A004,178253,Male,0-15,White
19,Iowa,P012A004,88244,Male,0-15,White
20,Kansas,P012A004,80147,Male,0-15,White
21,Kentucky,P012A004,120493,Male,0-15,White
22,Louisiana,P012A004,86476,Male,0-15,White
23,Maine,P012A004,34891,Male,0-15,White
24,Maryland,P012A004,95540,Male,0-15,White
25,Massachusetts,P012A004,145386,Male,0-15,White
26,Michigan,P012A004,237568,Male,0-15,White
27,Minnesota,P012A004,139225,Male,0-15,White
28,Mississippi,P012A004,54602,Male,0-15,White
29,Missouri,P012A004,154907,Male,0-15,White
30,Montana,P012A004,25573,Male,0-15,White
31,Nebraska,P012A004,51964,Male,0-15,White
32,Nevada,P012A004,52987,Male,0-15,White
33,New Hampshire,P012A004,35618,Male,0-15,White
34,New Jersey,P012A004,181666,Male,0-15,White
35,New Mexico,P012A004,43838,Male,0-15,White
36,New York,P012A004,358369,Male,0-15,White
37,North Carolina,P012A004,197965,Male,0-15,White
38,North Dakota,P012A004,17071,Male,0-15,White
39,Ohio,P012A004,295031,Male,0-15,White
40,Oklahoma,P012A004,81139,Male,0-15,White
41,Oregon,P012A004,90604,Male,0-15,White
42,Pennsylvania,P012A004,288776,Male,0-15,White
44,Rhode Island,P012A004,22448,Male,0-15,White
45,South Carolina,P012A004,88963,Male,0-15,White
46,South Dakota,P012A004,21988,Male,0-15,White
47,Tennessee,P012A004,149839,Male,0-15,White
48,Texas,P012A004,645388,Male,0-15,White
49,Utah,P012A004,105963,Male,0-15,White
50,Vermont,P012A004,16466,Male,0-15,White
51,Virginia,P012A004,161741,Male,0-15,White
53,Washington,P012A004,149834,Male,0-15,White
54,West Virginia,P012A004,49752,Male,0-15,White
55,Wisconsin,P012A004,147767,Male,0-15,White
56,Wyoming,P012A004,16613,Male,0-15,White
72,Puerto Rico,P012A004,93301,Male,0-15,White
01,Alabama,P012A005,102866,Male,0-15,White
02,Alaska,P012A005,14748,Male,0-15,White
04,Arizona,P012A005,146990,Male,0-15,White
05,Arkansas,P012A005,71386,Male,0-15,White
06,California,P012A005,678570,Male,0-15,White
08,Colorado,P012A005,128024,Male,0-15,White
09,Connecticut,P012A005,88953,Male,0-15,White
10,Delaware,P012A005,17401,Male,0-15,White
11,District of Columbia,P012A005,1998,Male,0-15,White
12,Florida,P012A005,387030,Male,0-15,White
13,Georgia,P012A005,189084,Male,0-15,White
15,Hawaii,P012A005,6014,Male,0-15,White
16,Idaho,P012A005,51363,Male,0-15,White
17,Illinois,P012A005,293874,Male,0-15,White
18,Indiana,P012A005,184484,Male,0-15,White
19,Iowa,P012A005,90106,Male,0-15,White
20,Kansas,P012A005,80696,Male,0-15,White
21,Kentucky,P012A005,123412,Male,0-15,White
22,Louisiana,P012A005,88277,Male,0-15,White
23,Maine,P012A005,37531,Male,0-15,White
24,Maryland,P012A005,102028,Male,0-15,White
25,Massachusetts,P012A005,158246,Male,0-15,White
26,Michigan,P012A005,255394,Male,0-15,White
27,Minnesota,P012A005,143313,Male,0-15,White
28,Mississippi,P012A005,55360,Male,0-15,White
29,Missouri,P012A005,159681,Male,0-15,White
30,Montana,P012A005,26728,Male,0-15,White
31,Nebraska,P012A005,50474,Male,0-15,White
32,Nevada,P012A005,53804,Male,0-15,White
33,New Hampshire,P012A005,40007,Male,0-15,White
34,New Jersey,P012A005,194374,Male,0-15,White
35,New Mexico,P012A005,44036,Male,0-15,White
36,New York,P012A005,378571,Male,0-15,White
37,North Carolina,P012A005,199261,Male,0-15,White
38,North Dakota,P012A005,17338,Male,0-15,White
39,Ohio,P012A005,310708,Male,0-15,White
40,Oklahoma,P012A005,81579,Male,0-15,White
41,Oregon,P012A005,94810,Male,0-15,White
42,Pennsylvania,P012A005,310310,Male,0-15,White
44,Rhode Island,P012A005,24247,Male,0-15,White
45,South Carolina,P012A005,91352,Male,0-15,White
46,South Dakota,P012A005,21838,Male,0-15,White
47,Tennessee,P012A005,155371,Male,0-15,White
48,Texas,P012A005,639898,Male,0-15,White
49,Utah,P012A005,97318,Male,0-15,White
50,Vermont,P012A005,18047,Male,0-15,White
51,Virginia,P012A005,166391,Male,0-15,White
